Scenario,Monte_Carlo_Run,Iteration,Num_Experiments,Total Capsids_Measurements,Total Capsids_IterBest,Total Capsids_CumBest
Sequential greedy EI,0,0,10,"[35.50324735418606, 34.86840389256884, 30.96814264892202, 30.249035794671286, 35.813651968301194, 34.988033804011934, 37.76680657382188, 31.30273734234922, 31.903147354442762, 29.799372311531304]",37.76680657382188,37.76680657382188
Sequential greedy EI,0,1,20,"[44.5117889976934, 38.12336130447949, 41.869335562759865, 37.59908977626797, 42.20443678760969, 37.05577458939828, 34.80108488281489, 33.78310825888371, 39.15555505040537, 37.636725020229555]",44.5117889976934,44.5117889976934
Sequential greedy EI,0,2,30,"[45.717887139384466, 30.922740338725475, 41.39656881560365, 40.34837198080288, 44.25591456659786, 30.344616222967815, 36.49888155045751, 31.38140907821348, 34.853761446315794, 30.873663526249924]",45.717887139384466,45.717887139384466
Sequential greedy EI,0,3,40,"[36.24138914249825, 31.192630843188002, 40.6593713683048, 30.6851290096309, 32.706906685357296, 37.29768968869683, 38.64017845345285, 29.219921536253228, 32.218823923197334, 27.37437695284753]",40.6593713683048,45.717887139384466
Sequential greedy EI,0,4,50,"[30.935155745991967, 29.770817983694997, 35.94520116644934, 33.329092505550896, 32.490222628628615, 27.72005058697054, 27.311076556327365, 33.17914256710065, 34.29266939462493, 29.51148835254534]",35.94520116644934,45.717887139384466
Sequential greedy EI,1,0,10,"[30.523401944991896, 41.06808477939199, 31.855979986628764, 31.860532116252248, 38.81772664636589, 38.181572483996185, 34.34449292655617, 33.35857061207308, 42.58066783239524, 35.15491865951775]",42.58066783239524,42.58066783239524
Sequential greedy EI,1,1,20,"[44.91172485887956, 44.1400947369417, 43.28613995713907, 43.328445545245266, 43.79357860292581, 41.335586906300314, 41.48707391344175, 39.65236720079033, 42.05427984501654, 44.65970294875606]",44.91172485887956,44.91172485887956
Sequential greedy EI,1,2,30,"[45.665143218287334, 29.454795096783453, 44.452420944765976, 41.621503557431936, 40.71168845041206, 44.35786573526765, 40.71722859390256, 41.419744599740056, 38.57359881967286, 39.17072633860286]",45.665143218287334,45.665143218287334
Sequential greedy EI,1,3,40,"[36.931174332209785, 33.86734532098876, 35.11509464465071, 33.32841416490434, 29.09881144855952, 33.41297779681068, 30.0962813808762, 34.112376723894265, 32.79840943518265, 36.51492409027749]",36.931174332209785,45.665143218287334
Sequential greedy EI,1,4,50,"[28.16149730279962, 39.393972476606386, 35.12682040114232, 29.739102143334335, 25.425902232678435, 32.23701595808501, 26.73013358438014, 32.568157634430115, 32.48899083436895, 31.72886181175586]",39.393972476606386,45.665143218287334
Sequential greedy EI,2,0,10,"[32.73948704951439, 36.77879141787245, 32.008649465982636, 35.36630465548708, 32.416886670149935, 35.98754970976435, 31.60445379822277, 35.27930941012409, 37.679900957730624, 34.9370585409727]",37.679900957730624,37.679900957730624
Sequential greedy EI,2,1,20,"[37.45969393961931, 40.13332512544087, 36.142759568977134, 36.11229077179914, 41.279478418325695, 40.913571190819724, 34.378399778468165, 40.02631311186164, 37.50762373818813, 37.71135234317887]",41.279478418325695,41.279478418325695
Sequential greedy EI,2,2,30,"[45.717887139384466, 27.101381009068756, 28.287708840318174, 39.987220323547305, 43.03896942479302, 29.29550692036543, 39.76771657577939, 31.665670894941588, 39.70702130746306, 39.327297398618306]",45.717887139384466,45.717887139384466
Sequential greedy EI,3,0,10,"[39.30174442814442, 30.844262966440496, 38.02205902009937, 38.64187155000662, 36.68342737060592, 30.537529303722454, 42.058336161699415, 41.453313210689835, 33.736447493400384, 29.739665244551755]",42.058336161699415,42.058336161699415
Sequential greedy EI,4,0,10,"[37.323746149160655, 37.68020176573385, 40.985926185921926, 38.70720388359627, 36.72901068699637, 39.332753055159515, 39.81457508694527, 35.8840011015203, 28.95991240562225, 40.11707258000597]",40.985926185921926,40.985926185921926
Random,0,0,10,"[34.10491697164077, 29.248869445841233, 34.88398906991659, 29.74438633748208, 38.67125925737508, 35.85795205769029, 36.86097231662053, 34.31309734927458, 29.838694689602313, 30.638463568114474]",38.67125925737508,38.67125925737508
Random,0,1,20,"[35.2461199761741, 36.533267601584654, 33.33489539913615, 34.7196664859073, 35.22225286910029, 29.213562574020294, 26.909644497598627, 38.61089141963536, 39.64962323537939, 33.77498434505749]",39.64962323537939,39.64962323537939
Random,0,2,30,"[37.03849341471638, 35.999231245084594, 34.33928475493901, 35.18010171852099, 38.273857589198926, 34.85985539246912, 35.73149966814428, 34.66209232730991, 30.481412889062156, 38.03477753012267]",38.273857589198926,39.64962323537939
Random,0,3,40,"[36.81342826594499, 30.43021958691237, 32.072181441649406, 30.522919152025874, 39.38735591366293, 34.08966569076976, 38.549014592562166, 32.25629844248532, 36.12073031592777, 35.12034687038879]",39.38735591366293,39.64962323537939
Random,0,4,50,"[41.56006996200122, 29.54197883855772, 35.26508747137757, 36.817605759356894, 30.474905417920827, 32.295423189401404, 30.325732235365862, 35.901524341344675, 39.72826305081477, 34.16053112280589]",41.56006996200122,41.56006996200122
Random,1,0,10,"[32.107607721124545, 42.19413854902755, 36.476981645067994, 35.0579858824423, 35.84562289606249, 37.83170801406835, 37.24085338000653, 37.457263606291775, 34.36254923702761, 37.33951756424815]",42.19413854902755,42.19413854902755
Random,1,1,20,"[32.95718719389231, 32.37033178236435, 42.279304815197854, 33.00949527379897, 35.21028399447947, 32.595133156205456, 29.091023769563844, 34.024527448203195, 38.054186181771286, 29.287465763945047]",42.279304815197854,42.279304815197854
Random,1,2,30,"[42.72948259881512, 39.85523682163737, 32.00972630949158, 31.42624913197726, 34.66789563211075, 34.716459142472864, 36.770441190003325, 36.185187348413194, 31.0789579713996, 37.833671390492]",42.72948259881512,42.72948259881512
Random,1,3,40,"[35.40321635527779, 34.259906289629264, 33.374098356874036, 36.7388377158709, 32.68782780996302, 37.220316751733435, 32.19725065448037, 31.298859882423077, 35.940828289700114, 33.33140476712321]",37.220316751733435,42.72948259881512
Random,1,4,50,"[37.34882735513693, 36.73157571762513, 38.67122845934859, 38.18373972558363, 33.682603360436104, 31.296562990040986, 38.96647258809361, 37.600453974983985, 33.33702265237518, 34.67592729485617]",38.96647258809361,42.72948259881512
Random,2,0,10,"[37.20304266785462, 38.65240795513552, 38.08492671993663, 40.685680758633914, 37.813818596944266, 33.310629571881265, 34.88167074560526, 36.077369804715254, 28.34493976579078, 36.938469984104415]",40.685680758633914,40.685680758633914
Random,2,1,20,"[33.43718900702852, 35.544068729881914, 30.083391532546088, 34.71019427716881, 34.36772210085508, 40.01597593766804, 38.22923280907015, 36.61350650582215, 38.95002615960808, 29.86099251486372]",40.01597593766804,40.685680758633914
Random,2,2,30,"[36.91059376367226, 29.294120122620935, 29.52256822613338, 32.60685207735521, 34.56686864816857, 34.999617140128976, 29.925713154585612, 33.060262767291746, 36.49193833763976, 36.44454865759674]",36.91059376367226,40.685680758633914
Random,2,3,40,"[34.71802096917272, 37.03370383173177, 36.512476218924775, 36.30528705841837, 35.22544950635943, 35.72391937197161, 35.92615177760216, 29.136798970322573, 37.37474789370633, 32.79270451492242]",37.37474789370633,40.685680758633914
Random,2,4,50,"[33.98595947449776, 29.728795803975512, 37.083295400626064, 31.3958346950391, 36.181304189350314, 36.06979781836036, 33.850723118968546, 37.71928610131128, 32.06046846611028, 38.314713940366]",38.314713940366,40.685680758633914
Random,3,0,10,"[31.08650107963463, 34.92206247282577, 32.73025157003575, 37.51899363652581, 36.98990039244782, 35.380566286867094, 25.77125824671845, 39.787433265479905, 36.326997906080884, 29.327625895422983]",39.787433265479905,39.787433265479905
Random,3,1,20,"[31.546492885717075, 34.389037037711596, 26.669469625883792, 29.314018778777506, 31.90070925278227, 35.95640424948734, 38.91669094237733, 30.143367947496966, 38.23639112890526, 32.71111152257596]",38.91669094237733,39.787433265479905
Random,3,2,30,"[36.499235404134104, 41.62939902799461, 29.632215186956714, 30.555939902408614, 37.38650328218338, 35.30372386791792, 35.5918481763541, 29.281217027901942, 41.16850188329567, 37.476424994314456]",41.62939902799461,41.62939902799461
